"","Session","ID","Condition","sentence","noun_transparency","noun","Item","RT","Accuracy"
"1","A","13","C4","Dice que la mochila rallada contiene nuestras cosas","transp","mochila",1,5174,1
"2","A","13","C3","Descubre que el borrador bueno vale menos dinero.","opaq","borrador",2,2787,1
"3","A","13","C4","Piensa que su religión estricta molesta al joven.","opaq","religión",3,2886,0
"4","A","13","C3","Indica que el hospital pequeño contrata a estudiantes.","opaq","hospital",4,3447,1
"5","A","13","C1","Sugiere que el anillo rojo llama la atención.","transp","anillo",5,2789,1
"6","A","13","C3","Explica que el cinturón mediano resulta más práctico.","opaq","cinturón",6,3226,1
"7","A","13","C1","Cuenta que el cuadro famoso representa su vida.","transp","cuadro",7,3852,1
"8","A","13","C1","Declara que el carro antiguo contamina el ambiente.","transp","carro",8,4467,1
"9","A","13","C4","Dice que su nación limpia recibe más turistas.","opaq","nación",9,6400,1
"10","A","13","C2","Aclara que su escuela púbica trae problemas.","transp","escuea",10,3032,1
"11","A","13","C1","Dice que el colegio nuevo cuesta mucho dinero.","transp","colegio",11,2867,1
"12","A","13","C4","Manifiesta que su mansión preciosa sorprende al hombre.","opaq","mansión",12,3051,0
"13","A","13","C3","Menciona que el maíz morado lidera las ventas.","opaq","maíz",13,3130,1
"14","A","13","C2","Sostiene que su taberna oscura necesita más luz.","transp","taberna",14,3436,1
"15","A","13","C2","Aclara que su palabra secreta resuelve el misterio.","transp","palabra",15,2273,1
"16","A","13","C4","Menciona que su nariz dorada causa sorpresa.","opaq","nariz",16,3948,0
"17","A","13","C1","Comenta que el suelo blanco demanda mucho cuidado.","transp","suelo",17,3411,1
"18","A","13","C4","Piensa que su crisis larga produce insomnio.","opaq","crisis",18,4175,0
"19","A","13","C2","Cuenta que su planta bonita gana el concurso.","transp","planta",19,4291,1
"20","A","13","C4","Avisa de que su conexión moderna repara el sistema.","opaq","conexión",20,4483,0
"21","A","13","C1","Demuestra que el zapato caro resiste la lluvia.","transp","zapato",21,4012,1
"22","A","13","C2","Opina que su novela trágica divide al pueblo.","transp","novela",22,4439,1
"23","A","13","C3","Cree que el pastel típico lleva demasiados ingredientes.","opaq","pastel",23,3526,1
"24","A","13","C4","Señala que su lección perfecta requiere preparación.","opaq","lección",24,3334,0
"25","A","13","C3","Avisa de que el metal sagrado tiene poderes mágicos.","opaq","metal",25,5014,1
"26","A","13","C3","Descubre que el paraguas barato soporta la lluvia.","opaq","paraguas",26,5741,1
"27","A","13","C1","Opina que el cuero negro cautiva al cliente.","transp","cuero",27,3539,1
"28","A","13","C4","Declara que su tradición rara confunde al rey.","opaq","tradición",28,3922,0
