ID	Condition	sentence	noun_transparency	noun	Trial_Index_	RT	Accuracy
A13	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	5174	1
A13	D07_C3	Descubre que el borrador bueno vale menos dinero.	opaq	borrador	2	2787	1
A13	D26_C4	Piensa que su religi—n estricta molesta al joven.	opaq	religi—n	3	2886	0
A13	D11_C3	Indica que el hospital peque–o contrata a estudiantes.	opaq	hospital	4	3447	1
A13	D17_C1	Sugiere que el anillo rojo llama la atenci—n.	transp	anillo	5	2789	1
A13	D15_C3	Explica que el cintur—n mediano resulta m‡s pr‡ctico.	opaq	cintur—n	6	3226	1
A13	D29_C1	Cuenta que el cuadro famoso representa su vida.	transp	cuadro	7	3852	1
A13	D09_C1	Declara que el carro antiguo contamina el ambiente.	transp	carro	8	4467	1
A13	D22_C4	Dice que su naci—n limpia recibe m‡s turistas.	opaq	naci—n	9	6400	1
A13	D16_C2	Aclara que su escuela pœbica trae problemas.	transp	escuea	10	3032	1
A13	D01_C1	Dice que el colegio nuevo cuesta mucho dinero.	transp	colegio	11	2867	1
A13	D18_C4	Manifiesta que su mansi—n preciosa sorprende al hombre.	opaq	mansi—n	12	3051	0
A13	D31_C3	Menciona que el ma’z morado lidera las ventas.	opaq	ma’z	13	3130	1
A13	D20_C2	Sostiene que su taberna oscura necesita m‡s luz.	transp	taberna	14	3436	1
A13	D12_C2	Aclara que su palabra secreta resuelve el misterio.	transp	palabra	15	2273	1
A13	D10_C4	Menciona que su nariz dorada causa sorpresa.	opaq	nariz	16	3948	0
A13	D25_C1	Comenta que el suelo blanco demanda mucho cuidado.	transp	suelo	17	3411	1
A13	D06_C4	Piensa que su crisis larga produce insomnio.	opaq	crisis	18	4175	0
A13	D08_C2	Cuenta que su planta bonita gana el concurso.	transp	planta	19	4291	1
A13	D02_C4	Avisa de que su conexi—n moderna repara el sistema.	opaq	conexi—n	20	4483	0
A13	D21_C1	Demuestra que el zapato caro resiste la lluvia.	transp	zapato	21	4012	1
A13	D28_C2	Opina que su novela tr‡gica divide al pueblo.	transp	novela	22	4439	1
A13	D03_C3	Cree que el pastel t’pico lleva demasiados ingredientes.	opaq	pastel	23	3526	1
A13	D14_C4	Se–ala que su lecci—n perfecta requiere preparaci—n.	opaq	lecci—n	24	3334	0
A13	D23_C3	Avisa de que el metal sagrado tiene poderes m‡gicos.	opaq	metal	25	5014	1
A13	D19_C3	Descubre que el paraguas barato soporta la lluvia.	opaq	paraguas	26	5741	1
A13	D13_C1	Opina que el cuero negro cautiva al cliente.	transp	cuero	27	3539	1
A13	D30_C4	Declara que su tradici—n rara confunde al rey.	opaq	tradici—n	28	3922	0
A13	D32_C2	Indica que su revista c—mica divierte a todos.	transp	revista	29	4225	1
A13	D24_C2	Cree que su cena mala decepciona al padre.	transp	cena	30	3854	1
A13	D04_C2	Comenta que su silla rosada mejora la sala.	transp	silla	31	5149	1
A13	D27_C3	Anuncia que el jard’n sucio disgusta al invitado.	opaq	jard’n	32	5132	1
A13	D05_C1	Anuncia que el palo roto crea m‡s basura.	transp	palo	33	3164	1
A16	PD_C4	Dice que la mochila rallada contiene nuestras cosas	transp	mochila	1	14054	1
A16	D20_C1	Sostiene que la taberna oscura necesita m‡s luz.	transp	taberna	2	3902	0
A16	D16_C1	Aclara que la escuela pœblica trae problemas.	transp	escuela	3	2854	1
